"month_year","SalesAmount","orderdate"
"01-2012",267.73,"2012-01-29 00:00:00"
"02-2012",421.9,"2012-02-29 00:00:00"
"03-2012",229.48,"2012-03-30 00:00:00"
"04-2012",210.36,"2012-04-30 00:00:00"
"05-2012",229.48,"2012-05-30 00:00:00"
"06-2012",141.31,"2012-06-30 00:00:00"
"07-2012",161.49,"2012-07-31 00:00:00"
"08-2012",201.87,"2012-08-28 00:00:00"
"09-2012",267.73,"2012-09-28 00:00:00"
"10-2012",229.48,"2012-10-28 00:00:00"
"11-2012",298.84,"2012-11-28 00:00:00"
"12-2012",321.21,"2012-12-28 00:00:00"
